,b,angle,x/z,T_max
1328,0.4,1.5308090277965443,-1.4100211864779475,2.280000000000001
1329,0.4,1.5168152074376977,-1.3978970435564777,2.290000000000001
1330,0.4,1.502719092527192,-1.3858661318361165,2.300000000000001
1331,0.4,1.4885200450719842,-1.3739275117633596,2.3100000000000014
1332,0.4,1.4742174241085109,-1.3620802658080262,2.320000000000001
1333,0.4,1.4598105854990102,-1.3503234982197072,2.330000000000001
1334,0.4,1.4452988817138552,-1.3386563348002123,2.340000000000001
1335,0.4,1.430681661598656,-1.3270779226919998,2.3500000000000014
1336,0.4,1.415958270126091,-1.315587430182597,2.360000000000001
1337,0.4,1.4011280481311854,-1.3041840465250452,2.370000000000001
1338,0.4,1.3861903320298081,-1.2928669817744212,2.3800000000000012
1339,0.4,1.3711444535194586,-1.281635466640523,2.3900000000000015
1340,0.4,1.3559897392617446,-1.2704887523568231,2.4000000000000012
1341,0.4,1.3407255105455587,-1.2594261105658238,2.410000000000001
1342,0.4,1.325351082930651,-1.248446833220975,2.4200000000000013
1343,0.4,1.3098657658703194,-1.2375502325053427,2.4300000000000015
1344,0.4,1.294268862312924,-1.2267356407672434,2.4400000000000013
1345,0.4,1.2785596682809808,-1.216002410473087,2.450000000000001
1346,0.4,1.2627374724275224,-1.2053499141777062,2.4600000000000013
1347,0.4,1.246801555568578,-1.1947775445124742,2.4700000000000015
1348,0.4,1.2307511901909707,-1.184284714191548,2.4800000000000013
1349,0.4,1.2145856399350015,-1.1738708560366073,2.490000000000001
1350,0.4,1.198304159050691,-1.1635354230204893,2.5000000000000013
1351,0.4,1.1819059918273558,-1.153277888330158,2.5100000000000016
1352,0.4,1.165390371995155,-1.1430977454494822,2.5200000000000014
1353,0.4,1.1487565220982905,-1.1329945082623296,2.530000000000001
1354,0.4,1.1320036528390003,-1.1229677111765293,2.5400000000000014
1355,0.4,1.1151309623913768,-1.1130169092692879,2.5500000000000016
1356,0.4,1.0981376356846861,-1.1031416784546917,2.5600000000000014
1357,0.4,1.0810228436551947,-1.093341615673967,2.570000000000001
1358,0.4,1.0637857424662425,-1.0836163391092133,2.5800000000000014
1359,0.4,1.0464254726955384,-1.0739654884213754,2.5900000000000016
1360,0.4,1.0289411584897041,-1.0643887250132604,2.6000000000000014
1361,0.4,1.0113319066851423,-1.0548857323184626,2.610000000000001
1362,0.4,0.993596805895221,-1.0454562161171015,2.6200000000000014
1363,0.4,0.9757349255634961,-1.0360999048793378,2.6300000000000017
1364,0.4,0.957745314982576,-1.0268165501376825,2.6400000000000015
1365,0.4,0.9396270022789497,-1.0176059268891675,2.6500000000000012
1366,0.4,0.921378993363654,-1.0084678340285111,2.6600000000000015
1367,0.4,0.903000270849234,-0.9994020948134602,2.6700000000000017
1368,0.4,0.8844897929334039,-0.9904085573635594,2.6800000000000015
1369,0.4,0.8658464922499927,-0.9814870951936558,2.6900000000000013
1370,0.4,0.8470692746883237,-0.9726376077835099,2.7000000000000015
1371,0.4,0.8281570181819825,-0.9638600211849477,2.7100000000000017
1372,0.4,0.8091085714683881,-0.9551542886680559,2.7200000000000015
1373,0.4,0.7899227528211631,-0.9465203914079843,2.7300000000000013
